pdate,专题名称,实验组曝光PV,对照组曝光PV,实验组曝光UV,对照组曝光UV
2022-11-07,快手家常菜,933.0,1011.0,432.0,425.0
2022-11-07,川渝风味,160.0,1011.0,69.0,425.0
2022-11-07,素菜小炒,355.0,,177.0,
2022-11-07,肉食主义,175.0,,79.0,
2022-11-07,简单不翻车,160.0,,73.0,
2022-11-07,红烧滋味,94.0,,39.0,
2022-11-07,鱼虾鲜味,65.0,,33.0,
2022-11-07,养生滋补,46.0,,19.0,
2022-11-07,粤式风味,37.0,,18.0,
2022-11-07,能量主食,32.0,,15.0,
2022-11-07,西式料理,28.0,,16.0,
2022-11-07,家常靓汤,23.0,,13.0,
2022-11-07,雅致苏菜,18.0,,8.0,
2022-11-07,减脂轻食,11.0,,4.0,
2022-11-07,下饭湘菜,10.0,,6.0,
2022-11-07,无辣不欢,9.0,,6.0,
2022-11-06,快手家常菜,1038.0,1217.0,407.0,491.0
2022-11-06,川渝风味,190.0,1217.0,65.0,491.0
2022-11-06,素菜小炒,396.0,,166.0,
2022-11-06,肉食主义,230.0,,91.0,
2022-11-06,简单不翻车,147.0,,72.0,
2022-11-06,红烧滋味,103.0,,38.0,
2022-11-06,养生滋补,54.0,,19.0,
2022-11-06,鱼虾鲜味,53.0,,24.0,
2022-11-06,西式料理,46.0,,18.0,
2022-11-06,粤式风味,31.0,,19.0,
2022-11-06,能量主食,28.0,,19.0,
2022-11-06,家常靓汤,26.0,,13.0,
2022-11-06,无辣不欢,17.0,,9.0,
2022-11-06,雅致苏菜,11.0,,6.0,
2022-11-06,下饭湘菜,10.0,,5.0,
2022-11-06,减脂轻食,10.0,,5.0,
2022-11-05,快手家常菜,990.0,1137.0,377.0,423.0
2022-11-05,川渝风味,237.0,1137.0,85.0,423.0
2022-11-05,素菜小炒,363.0,,153.0,
2022-11-05,简单不翻车,170.0,,65.0,
2022-11-05,肉食主义,141.0,,64.0,
2022-11-05,红烧滋味,100.0,,40.0,
2022-11-05,鱼虾鲜味,58.0,,26.0,
2022-11-05,养生滋补,42.0,,17.0,
2022-11-05,西式料理,40.0,,18.0,
2022-11-05,无辣不欢,36.0,,11.0,
2022-11-05,能量主食,36.0,,15.0,
2022-11-05,家常靓汤,27.0,,14.0,
2022-11-05,粤式风味,22.0,,9.0,
2022-11-05,雅致苏菜,20.0,,4.0,
2022-11-05,减脂轻食,10.0,,8.0,
2022-11-05,下饭湘菜,2.0,,2.0,
2022-11-04,快手家常菜,882.0,986.0,363.0,401.0
2022-11-04,川渝风味,221.0,986.0,82.0,401.0
2022-11-04,素菜小炒,369.0,,153.0,
2022-11-04,肉食主义,136.0,,56.0,
2022-11-04,简单不翻车,130.0,,63.0,
2022-11-04,红烧滋味,65.0,,34.0,
2022-11-04,家常靓汤,58.0,,20.0,
2022-11-04,鱼虾鲜味,51.0,,25.0,
2022-11-04,粤式风味,35.0,,18.0,
2022-11-04,无辣不欢,27.0,,9.0,
2022-11-04,能量主食,24.0,,15.0,
2022-11-04,养生滋补,22.0,,12.0,
2022-11-04,西式料理,20.0,,12.0,
2022-11-04,减脂轻食,8.0,,5.0,
2022-11-04,雅致苏菜,8.0,,4.0,
2022-11-04,下饭湘菜,4.0,,1.0,
2022-11-03,快手家常菜,926.0,927.0,386.0,392.0
2022-11-03,川渝风味,288.0,927.0,96.0,392.0
2022-11-03,素菜小炒,324.0,,157.0,
2022-11-03,简单不翻车,142.0,,63.0,
2022-11-03,肉食主义,119.0,,65.0,
2022-11-03,红烧滋味,82.0,,31.0,
2022-11-03,西式料理,48.0,,19.0,
2022-11-03,鱼虾鲜味,43.0,,22.0,
2022-11-03,能量主食,41.0,,17.0,
2022-11-03,粤式风味,40.0,,18.0,
2022-11-03,养生滋补,30.0,,12.0,
2022-11-03,家常靓汤,27.0,,12.0,
2022-11-03,无辣不欢,13.0,,7.0,
2022-11-03,减脂轻食,12.0,,6.0,
2022-11-03,雅致苏菜,3.0,,3.0,
2022-11-03,下饭湘菜,2.0,,1.0,
2022-11-02,快手家常菜,793.0,815.0,345.0,371.0
2022-11-02,川渝风味,227.0,815.0,88.0,371.0
2022-11-02,素菜小炒,309.0,,135.0,
2022-11-02,肉食主义,85.0,,39.0,
2022-11-02,简单不翻车,83.0,,54.0,
2022-11-02,红烧滋味,62.0,,26.0,
2022-11-02,鱼虾鲜味,43.0,,21.0,
2022-11-02,养生滋补,29.0,,14.0,
2022-11-02,能量主食,28.0,,19.0,
2022-11-02,无辣不欢,23.0,,9.0,
2022-11-02,粤式风味,23.0,,14.0,
2022-11-02,家常靓汤,15.0,,8.0,
2022-11-02,西式料理,15.0,,10.0,
2022-11-02,下饭湘菜,5.0,,2.0,
2022-11-01,快手家常菜,627.0,702.0,301.0,349.0
2022-11-01,川渝风味,105.0,702.0,48.0,349.0
2022-11-01,简单不翻车,403.0,,210.0,
2022-11-01,素菜小炒,119.0,,64.0,
2022-11-01,红烧滋味,47.0,,23.0,
2022-11-01,肉食主义,44.0,,27.0,
2022-11-01,酸辣开胃,26.0,,10.0,
2022-11-01,粤式风味,22.0,,14.0,
2022-11-01,鱼虾鲜味,21.0,,14.0,
2022-11-01,能量主食,15.0,,9.0,
2022-11-01,家常靓汤,12.0,,7.0,
2022-11-01,爱吃土豆,11.0,,7.0,
2022-11-01,养生滋补,10.0,,4.0,
2022-11-01,西式料理,10.0,,9.0,
2022-11-01,无辣不欢,9.0,,5.0,
2022-11-01,徽州风味,7.0,,1.0,
2022-11-01,减脂轻食,5.0,,3.0,
2022-11-01,下饭湘菜,4.0,,3.0,
2022-11-01,雅致苏菜,4.0,,2.0,
2022-11-01,闽味飘香,3.0,,1.0,
2022-11-01,产后营养餐,2.0,,2.0,
2022-11-01,精致浙菜,2.0,,1.0,
2022-11-01,网红热门菜,2.0,,2.0,
2022-11-01,宝宝爱吃,1.0,,1.0,
2022-11-01,经典鲁菜,1.0,,1.0,
2022-10-31,快手家常菜,586.0,624.0,286.0,345.0
2022-10-31,川渝风味,75.0,624.0,30.0,345.0
2022-10-31,简单不翻车,509.0,,239.0,
2022-10-31,素菜小炒,68.0,,42.0,
2022-10-31,肉食主义,52.0,,27.0,
2022-10-31,红烧滋味,26.0,,18.0,
2022-10-31,粤式风味,20.0,,11.0,
2022-10-31,无辣不欢,15.0,,4.0,
2022-10-31,鱼虾鲜味,15.0,,11.0,
2022-10-31,网红热门菜,11.0,,4.0,
2022-10-31,徽州风味,10.0,,1.0,
2022-10-31,西式料理,10.0,,9.0,
2022-10-31,能量主食,8.0,,7.0,
2022-10-31,家常靓汤,7.0,,6.0,
2022-10-31,雅致苏菜,6.0,,3.0,
2022-10-31,下饭湘菜,5.0,,4.0,
2022-10-31,爱吃土豆,5.0,,4.0,
2022-10-31,减脂轻食,4.0,,1.0,
2022-10-31,酸辣开胃,4.0,,4.0,
2022-10-31,产后营养餐,3.0,,1.0,
2022-10-31,养生滋补,2.0,,2.0,
2022-10-31,闽味飘香,2.0,,1.0,
2022-10-31,东南亚风味,1.0,,1.0,
2022-10-31,宝宝爱吃,1.0,,1.0,
2022-10-31,精致浙菜,1.0,,1.0,
2022-10-30,快手家常菜,570.0,804.0,262.0,382.0
2022-10-30,川渝风味,79.0,804.0,38.0,382.0
2022-10-30,简单不翻车,537.0,,242.0,
2022-10-30,素菜小炒,63.0,,35.0,
2022-10-30,肉食主义,53.0,,26.0,
2022-10-30,粤式风味,31.0,,15.0,
2022-10-30,红烧滋味,28.0,,15.0,
2022-10-30,家常靓汤,17.0,,8.0,
2022-10-30,西式料理,15.0,,8.0,
2022-10-30,鱼虾鲜味,15.0,,8.0,
2022-10-30,无辣不欢,12.0,,7.0,
2022-10-30,下饭湘菜,7.0,,4.0,
2022-10-30,经典鲁菜,7.0,,1.0,
2022-10-30,能量主食,7.0,,5.0,
2022-10-30,酸辣开胃,6.0,,6.0,
2022-10-30,爱吃土豆,4.0,,2.0,
2022-10-30,精致浙菜,4.0,,3.0,
2022-10-30,减脂轻食,3.0,,3.0,
2022-10-30,东南亚风味,2.0,,2.0,
2022-10-30,雅致苏菜,2.0,,2.0,
2022-10-30,养生滋补,1.0,,1.0,
2022-10-30,宝宝爱吃,1.0,,1.0,
2022-10-29,快手家常菜,609.0,808.0,285.0,371.0
2022-10-29,川渝风味,72.0,808.0,32.0,371.0
2022-10-29,简单不翻车,530.0,,260.0,
2022-10-29,素菜小炒,54.0,,30.0,
2022-10-29,肉食主义,51.0,,28.0,
2022-10-29,红烧滋味,39.0,,20.0,
2022-10-29,西式料理,27.0,,13.0,
2022-10-29,能量主食,23.0,,9.0,
2022-10-29,鱼虾鲜味,23.0,,10.0,
2022-10-29,无辣不欢,21.0,,7.0,
2022-10-29,酸辣开胃,21.0,,10.0,
2022-10-29,爱吃土豆,20.0,,8.0,
2022-10-29,粤式风味,19.0,,16.0,
2022-10-29,家常靓汤,15.0,,12.0,
2022-10-29,经典鲁菜,11.0,,6.0,
2022-10-29,下饭湘菜,9.0,,5.0,
2022-10-29,减脂轻食,8.0,,3.0,
