pdate,subject_name,A,B
2022-11-07,快手家常菜,50.0,46.0
2022-11-07,川渝风味,13.0,43.0
2022-11-07,肉食主义,17.0,
2022-11-07,简单不翻车,9.0,
2022-11-07,素菜小炒,8.0,
2022-11-07,鱼虾鲜味,8.0,
2022-11-07,红烧滋味,4.0,
2022-11-07,西式料理,4.0,
2022-11-07,家常靓汤,2.0,
2022-11-07,雅致苏菜,2.0,
2022-11-07,养生滋补,1.0,
2022-11-07,无辣不欢,1.0,
2022-11-07,粤式风味,1.0,
2022-11-07,能量主食,1.0,
2022-11-06,快手家常菜,56.0,66.0
2022-11-06,川渝风味,17.0,54.0
2022-11-06,肉食主义,23.0,
2022-11-06,简单不翻车,8.0,
2022-11-06,红烧滋味,4.0,
2022-11-06,能量主食,3.0,
2022-11-06,鱼虾鲜味,3.0,
2022-11-06,养生滋补,2.0,
2022-11-06,素菜小炒,2.0,
2022-11-06,雅致苏菜,2.0,
2022-11-06,家常靓汤,1.0,
2022-11-06,粤式风味,1.0,
2022-11-06,西式料理,1.0,
2022-11-05,快手家常菜,73.0,91.0
2022-11-05,川渝风味,22.0,50.0
2022-11-05,简单不翻车,14.0,
2022-11-05,肉食主义,13.0,
2022-11-05,素菜小炒,9.0,
2022-11-05,红烧滋味,5.0,
2022-11-05,养生滋补,3.0,
2022-11-05,能量主食,3.0,
2022-11-05,雅致苏菜,3.0,
2022-11-05,鱼虾鲜味,3.0,
2022-11-05,家常靓汤,2.0,
2022-11-05,西式料理,2.0,
2022-11-04,快手家常菜,68.0,62.0
2022-11-04,川渝风味,15.0,48.0
2022-11-04,肉食主义,18.0,
2022-11-04,素菜小炒,11.0,
2022-11-04,红烧滋味,7.0,
2022-11-04,简单不翻车,6.0,
2022-11-04,能量主食,5.0,
2022-11-04,养生滋补,4.0,
2022-11-04,无辣不欢,2.0,
2022-11-04,西式料理,2.0,
2022-11-04,家常靓汤,1.0,
2022-11-04,粤式风味,1.0,
2022-11-04,雅致苏菜,1.0,
2022-11-04,鱼虾鲜味,1.0,
2022-11-03,快手家常菜,56.0,52.0
2022-11-03,川渝风味,17.0,37.0
2022-11-03,肉食主义,17.0,
2022-11-03,简单不翻车,7.0,
2022-11-03,素菜小炒,7.0,
2022-11-03,粤式风味,5.0,
2022-11-03,红烧滋味,3.0,
2022-11-03,西式料理,3.0,
2022-11-03,鱼虾鲜味,2.0,
2022-11-03,养生滋补,1.0,
2022-11-03,家常靓汤,1.0,
2022-11-03,无辣不欢,1.0,
2022-11-03,雅致苏菜,1.0,
2022-11-02,快手家常菜,41.0,52.0
2022-11-02,川渝风味,18.0,28.0
2022-11-02,肉食主义,8.0,
2022-11-02,简单不翻车,6.0,
2022-11-02,能量主食,5.0,
2022-11-02,养生滋补,4.0,
2022-11-02,红烧滋味,4.0,
2022-11-02,无辣不欢,1.0,
2022-11-02,素菜小炒,1.0,
2022-11-01,快手家常菜,38.0,50.0
2022-11-01,川渝风味,6.0,37.0
2022-11-01,简单不翻车,25.0,
2022-11-01,肉食主义,9.0,
2022-11-01,素菜小炒,3.0,
2022-11-01,粤式风味,2.0,
2022-11-01,红烧滋味,2.0,
2022-11-01,能量主食,2.0,
2022-11-01,养生滋补,1.0,
2022-11-01,减脂轻食,1.0,
2022-11-01,家常靓汤,1.0,
2022-11-01,无辣不欢,1.0,
2022-11-01,爱吃土豆,1.0,
2022-10-31,快手家常菜,17.0,33.0
2022-10-31,川渝风味,6.0,20.0
2022-10-31,简单不翻车,16.0,
2022-10-31,粤式风味,5.0,
2022-10-31,红烧滋味,3.0,
2022-10-31,无辣不欢,1.0,
2022-10-31,肉食主义,1.0,
2022-10-31,雅致苏菜,1.0,
2022-10-30,快手家常菜,26.0,51.0
2022-10-30,川渝风味,1.0,25.0
2022-10-30,简单不翻车,23.0,
2022-10-30,肉食主义,8.0,
2022-10-30,素菜小炒,4.0,
2022-10-30,粤式风味,2.0,
2022-10-30,红烧滋味,1.0,
2022-10-30,能量主食,1.0,
2022-10-30,西式料理,1.0,
2022-10-29,快手家常菜,21.0,40.0
2022-10-29,川渝风味,7.0,36.0
