pdate,menu_name,A,B
2022-11-07,干锅花菜,5.0,14.0
2022-11-07,油焖茄子,9.0,13.0
2022-11-07,青椒炒蛋,8.0,11.0
2022-11-07,回锅肉,9.0,9.0
2022-11-07,辣椒炒肉,1.0,9.0
2022-11-07,鱼香肉丝,1.0,8.0
2022-11-07,蚝油生菜,2.0,5.0
2022-11-07,酸辣土豆丝,10.0,4.0
2022-11-07,干锅包菜,1.0,4.0
2022-11-07,鱼香茄子,2.0,3.0
2022-11-07,芹菜牛肉丝,5.0,2.0
2022-11-07,虎皮青椒,3.0,2.0
2022-11-07,麻婆豆腐,7.0,1.0
2022-11-07,宫保鸡丁,1.0,1.0
2022-11-07,水煮肉片,1.0,1.0
2022-11-07,蒜蓉菠菜,1.0,1.0
2022-11-07,金汤肥牛,,1.0
2022-11-07,西红柿炒蛋,7.0,
2022-11-07,小炒黄牛肉,6.0,
2022-11-07,糖醋包菜,6.0,
2022-11-07,法式香煎银鳕鱼,3.0,
2022-11-07,茄汁花菜,3.0,
2022-11-07,葱烧鲫鱼（减脂餐）,3.0,
2022-11-07,板栗焖鸡块（滋补餐）,2.0,
2022-11-07,白炒鲜竹蛏,2.0,
2022-11-07,肉末茄子,2.0,
2022-11-07,蒜泥油麦菜,2.0,
2022-11-07,蒜蓉菜心,2.0,
2022-11-07,黄金带鱼,2.0,
2022-11-07,冬瓜排骨汤,1.0,
2022-11-07,双椒羊肉,1.0,
2022-11-07,大厨炒方便面,1.0,
2022-11-07,山药炒黑木耳,1.0,
2022-11-07,油焖春笋,1.0,
2022-11-07,清炒荷兰豆,1.0,
2022-11-07,澳洲谷饲西冷牛排,1.0,
2022-11-07,糖醋排骨,1.0,
2022-11-07,红烧肉,1.0,
2022-11-07,肉蟹煲,1.0,
2022-11-07,腌笃鲜,1.0,
2022-11-07,蒜香蜜汁鸡腿,1.0,
2022-11-07,辣炒鱿鱼,1.0,
2022-11-07,酸辣白菜,1.0,
2022-11-07,青菜豆腐汤,1.0,
2022-11-06,油焖茄子,9.0,24.0
2022-11-06,干锅花菜,4.0,14.0
2022-11-06,虎皮青椒,1.0,13.0
2022-11-06,酸辣土豆丝,13.0,10.0
2022-11-06,蚝油生菜,8.0,8.0
2022-11-06,辣椒炒肉,10.0,7.0
2022-11-06,鱼香肉丝,4.0,7.0
2022-11-06,干锅包菜,3.0,7.0
2022-11-06,回锅肉,8.0,6.0
2022-11-06,麻婆豆腐,5.0,6.0
2022-11-06,青椒炒蛋,6.0,5.0
2022-11-06,芹菜牛肉丝,2.0,4.0
2022-11-06,西红柿炒蛋,2.0,3.0
2022-11-06,鱼香茄子,,3.0
2022-11-06,水煮肉片,,2.0
2022-11-06,蒜蓉菠菜,1.0,1.0
2022-11-06,排骨炖土豆,9.0,
2022-11-06,可乐鸡翅,6.0,
2022-11-06,宫保鸡丁,3.0,
2022-11-06,糖醋包菜,3.0,
2022-11-06,肉末茄子,3.0,
2022-11-06,板栗焖鸡块（滋补餐）,2.0,
2022-11-06,肉丝炒面,2.0,
2022-11-06,葱烧鲫鱼（减脂餐）,2.0,
2022-11-06,一品豆腐,1.0,
2022-11-06,原味虾仁西兰花,1.0,
2022-11-06,大厨炒方便面,1.0,
2022-11-06,小炒黄牛肉,1.0,
2022-11-06,清炒芦笋百合,1.0,
2022-11-06,清炒荷兰豆,1.0,
2022-11-06,盐水河虾,1.0,
2022-11-06,米兰式煎牛排,1.0,
2022-11-06,糖醋桂鱼,1.0,
2022-11-06,红烧牛腩,1.0,
2022-11-06,蒜子烧鳝,1.0,
2022-11-06,蒜蓉菜心,1.0,
2022-11-06,蟹粉豆腐,1.0,
2022-11-06,西红柿蛋汤,1.0,
2022-11-06,辣炒鱿鱼,1.0,
2022-11-06,酸辣白菜,1.0,
2022-11-06,香菇青菜,1.0,
2022-11-05,辣椒炒肉,16.0,20.0
2022-11-05,油焖茄子,13.0,17.0
2022-11-05,酸辣土豆丝,15.0,16.0
2022-11-05,干锅花菜,8.0,14.0
2022-11-05,蚝油生菜,9.0,13.0
2022-11-05,青椒炒蛋,9.0,11.0
2022-11-05,鱼香肉丝,7.0,9.0
2022-11-05,回锅肉,1.0,9.0
2022-11-05,虎皮青椒,2.0,7.0
2022-11-05,麻婆豆腐,3.0,5.0
2022-11-05,金汤肥牛,3.0,4.0
2022-11-05,蒜蓉菠菜,2.0,4.0
2022-11-05,水煮肉片,,3.0
2022-11-05,芹菜牛肉丝,,3.0
2022-11-05,鱼香茄子,2.0,2.0
2022-11-05,干锅包菜,,2.0
2022-11-05,西红柿炒蛋,6.0,1.0
2022-11-05,茄汁花菜,3.0,1.0
2022-11-05,排骨炖土豆,7.0,
2022-11-05,糖醋包菜,5.0,
2022-11-05,肉末茄子,5.0,
2022-11-05,酸辣白菜,4.0,
2022-11-05,养生小炒（滋补餐）,3.0,
2022-11-05,可乐鸡翅,3.0,
2022-11-05,香菇青菜,3.0,
2022-11-05,年糕烧黄鱼,2.0,
2022-11-05,清炒荷兰豆,2.0,
2022-11-05,糖醋排骨,2.0,
2022-11-05,西湖牛肉羹,2.0,
2022-11-05,咸蛋黄焗南瓜,1.0,
2022-11-05,小炒黄牛肉,1.0,
2022-11-05,牛肉锅贴,1.0,
2022-11-05,盐水河虾,1.0,
2022-11-05,米兰式煎牛排,1.0,
2022-11-05,糖醋桂鱼,1.0,
2022-11-05,红烧牛腩,1.0,
2022-11-05,红烧肉,1.0,
2022-11-05,红烧鸡翅,1.0,
2022-11-05,肉丝炒面,1.0,
2022-11-05,蒜子烧鳝,1.0,
2022-11-05,蒜香蜜汁鸡腿,1.0,
2022-11-05,辣炒鱿鱼,1.0,
2022-11-05,阳春面,1.0,
2022-11-05,香草奶油蘑菇汤,1.0,
2022-11-04,油焖茄子,11.0,15.0
2022-11-04,干锅花菜,3.0,13.0
2022-11-04,辣椒炒肉,13.0,12.0
2022-11-04,青椒炒蛋,8.0,9.0
2022-11-04,酸辣土豆丝,9.0,8.0
2022-11-04,回锅肉,6.0,7.0
2022-11-04,虎皮青椒,5.0,7.0
2022-11-04,鱼香肉丝,5.0,7.0
2022-11-04,芹菜牛肉丝,5.0,6.0
2022-11-04,鱼香茄子,2.0,5.0
2022-11-04,干锅包菜,1.0,5.0
2022-11-04,麻婆豆腐,1.0,5.0
2022-11-04,蚝油生菜,18.0,4.0
2022-11-04,蒜蓉菠菜,3.0,2.0
2022-11-04,水煮肉片,1.0,2.0
2022-11-04,金汤肥牛,,2.0
2022-11-04,西红柿炒蛋,3.0,1.0
2022-11-04,排骨炖土豆,6.0,
2022-11-04,酸辣白菜,5.0,
2022-11-04,可乐鸡翅,4.0,
2022-11-04,肉末茄子,3.0,
2022-11-04,小炒黄牛肉,2.0,
2022-11-04,糖醋包菜,2.0,
2022-11-04,红烧肉,2.0,
2022-11-04,鸡蛋炒豆腐,2.0,
2022-11-04,冬瓜排骨汤,1.0,
2022-11-04,咸蛋黄焗南瓜,1.0,
2022-11-04,宫保鸡丁,1.0,
2022-11-04,山药炒黑木耳,1.0,
2022-11-04,松茸鸡汤（滋补餐）,1.0,
2022-11-04,沙茶牛肉,1.0,
2022-11-04,法式香煎银鳕鱼,1.0,
2022-11-04,清炒荷兰豆,1.0,
2022-11-04,牛肉锅贴,1.0,
2022-11-04,糖醋排骨,1.0,
2022-11-04,红烧大虾,1.0,
2022-11-04,红烧鸡翅,1.0,
2022-11-04,肉丝炒面,1.0,
2022-11-04,胡萝卜鸡蛋饼,1.0,
2022-11-04,芝士烤面包,1.0,
2022-11-04,菠萝炒饭,1.0,
2022-11-04,葱烧鲫鱼（减脂餐）,1.0,
2022-11-04,蒜子烧鳝,1.0,
2022-11-04,蒜香蜜汁鸡腿,1.0,
2022-11-04,辣炒鱿鱼,1.0,
2022-11-04,阳春面,1.0,
2022-11-04,鸡腿焖香菇,1.0,
2022-11-03,油焖茄子,14.0,14.0
2022-11-03,干锅花菜,4.0,10.0
2022-11-03,青椒炒蛋,4.0,10.0
2022-11-03,酸辣土豆丝,8.0,7.0
2022-11-03,回锅肉,5.0,7.0
2022-11-03,干锅包菜,1.0,7.0
2022-11-03,蚝油生菜,6.0,6.0
2022-11-03,鱼香肉丝,4.0,6.0
2022-11-03,芹菜牛肉丝,3.0,6.0
2022-11-03,辣椒炒肉,16.0,5.0
2022-11-03,麻婆豆腐,2.0,3.0
2022-11-03,虎皮青椒,4.0,2.0
2022-11-03,鱼香茄子,2.0,2.0
2022-11-03,宫保鸡丁,1.0,2.0
2022-11-03,茄汁花菜,,1.0
2022-11-03,金汤肥牛,,1.0
2022-11-03,可乐鸡翅,8.0,
2022-11-03,西红柿炒蛋,5.0,
2022-11-03,肉末茄子,4.0,
2022-11-03,排骨炖土豆,3.0,
2022-11-03,原味虾仁西兰花,2.0,
2022-11-03,小炒黄牛肉,2.0,
2022-11-03,清炒荷兰豆,2.0,
2022-11-03,蒜蓉菠菜,2.0,
2022-11-03,酸辣白菜,2.0,
2022-11-03,养生小炒（滋补餐）,1.0,
2022-11-03,冬瓜排骨汤,1.0,
2022-11-03,水煮肉片,1.0,
2022-11-03,油焖春笋,1.0,
2022-11-03,白炒鲜竹蛏,1.0,
2022-11-03,米兰式煎牛排,1.0,
2022-11-03,糖醋包菜,1.0,
2022-11-03,糖醋排骨,1.0,
2022-11-03,红烧牛腩,1.0,
2022-11-03,红烧鸡翅,1.0,
2022-11-03,美国谷饲肉眼牛排,1.0,
2022-11-03,萝卜炖牛腩,1.0,
