pdate,menu_name_sub,A,B
2022-11-07,干锅花菜|川渝风味,5.0,14.0
2022-11-07,油焖茄子|快手家常菜,9.0,13.0
2022-11-07,青椒炒蛋|快手家常菜,8.0,11.0
2022-11-07,回锅肉|川渝风味,1.0,9.0
2022-11-07,辣椒炒肉|快手家常菜,1.0,9.0
2022-11-07,鱼香肉丝|川渝风味,1.0,8.0
2022-11-07,蚝油生菜|快手家常菜,2.0,5.0
2022-11-07,酸辣土豆丝|快手家常菜,10.0,4.0
2022-11-07,干锅包菜|川渝风味,1.0,4.0
2022-11-07,鱼香茄子|川渝风味,2.0,3.0
2022-11-07,芹菜牛肉丝|快手家常菜,5.0,2.0
2022-11-07,虎皮青椒|川渝风味,1.0,2.0
2022-11-07,麻婆豆腐|快手家常菜,6.0,1.0
2022-11-07,水煮肉片|川渝风味,1.0,1.0
2022-11-07,蒜蓉菠菜|快手家常菜,1.0,1.0
2022-11-07,宫保鸡丁|川渝风味,,1.0
2022-11-07,金汤肥牛|川渝风味,,1.0
2022-11-07,回锅肉|肉食主义,8.0,
2022-11-07,小炒黄牛肉|肉食主义,6.0,
2022-11-07,西红柿炒蛋|快手家常菜,5.0,
2022-11-07,糖醋包菜|简单不翻车,4.0,
2022-11-07,法式香煎银鳕鱼|西式料理,3.0,
2022-11-07,茄汁花菜|快手家常菜,3.0,
2022-11-07,葱烧鲫鱼（减脂餐）|鱼虾鲜味,3.0,
2022-11-07,板栗焖鸡块（滋补餐）|红烧滋味,2.0,
2022-11-07,白炒鲜竹蛏|鱼虾鲜味,2.0,
2022-11-07,糖醋包菜|素菜小炒,2.0,
2022-11-07,肉末茄子|简单不翻车,2.0,
2022-11-07,蒜泥油麦菜|素菜小炒,2.0,
2022-11-07,虎皮青椒|素菜小炒,2.0,
2022-11-07,西红柿炒蛋|简单不翻车,2.0,
2022-11-07,黄金带鱼|鱼虾鲜味,2.0,
2022-11-07,冬瓜排骨汤|家常靓汤,1.0,
2022-11-07,双椒羊肉|无辣不欢,1.0,
2022-11-07,大厨炒方便面|能量主食,1.0,
2022-11-07,宫保鸡丁|肉食主义,1.0,
2022-11-07,山药炒黑木耳|养生滋补,1.0,
2022-11-07,油焖春笋|雅致苏菜,1.0,
2022-11-07,清炒荷兰豆|素菜小炒,1.0,
2022-11-07,澳洲谷饲西冷牛排|西式料理,1.0,
2022-11-07,糖醋排骨|红烧滋味,1.0,
2022-11-07,红烧肉|红烧滋味,1.0,
2022-11-07,肉蟹煲|鱼虾鲜味,1.0,
2022-11-07,腌笃鲜|雅致苏菜,1.0,
2022-11-07,蒜蓉菜心|简单不翻车,1.0,
2022-11-07,蒜蓉菜心|粤式风味,1.0,
2022-11-07,蒜香蜜汁鸡腿|肉食主义,1.0,
2022-11-07,辣炒鱿鱼|肉食主义,1.0,
2022-11-07,酸辣白菜|素菜小炒,1.0,
2022-11-07,青菜豆腐汤|家常靓汤,1.0,
2022-11-07,麻婆豆腐|川渝风味,1.0,
2022-11-06,油焖茄子|快手家常菜,9.0,24.0
2022-11-06,干锅花菜|川渝风味,4.0,14.0
2022-11-06,虎皮青椒|川渝风味,1.0,13.0
2022-11-06,酸辣土豆丝|快手家常菜,13.0,10.0
2022-11-06,蚝油生菜|快手家常菜,8.0,8.0
2022-11-06,辣椒炒肉|快手家常菜,10.0,7.0
2022-11-06,鱼香肉丝|川渝风味,4.0,7.0
2022-11-06,干锅包菜|川渝风味,3.0,7.0
2022-11-06,回锅肉|川渝风味,5.0,6.0
2022-11-06,青椒炒蛋|快手家常菜,6.0,5.0
2022-11-06,麻婆豆腐|快手家常菜,5.0,4.0
