日期,分组,UV,2d-stay,3d-stay,4d-stay,5d-stay,6d-stay,7d-stay,8d-stay,9d-stay,10d-stay,11d-stay,12d-stay
2022-10-27,实验组,32,5,1,4,0,1,1,2,3,0,2,3
2022-10-27,对照组,58,10,8,5,4,5,4,3,1,2,5,3
2022-10-28,实验组,34,2,1,2,4,1,1,0,2,0,1,0
2022-10-28,对照组,45,7,6,6,4,1,2,4,2,2,4,0
2022-10-29,实验组,42,7,5,4,4,1,2,2,1,2,0,0
2022-10-29,对照组,44,7,0,3,6,0,1,4,0,3,0,0
2022-10-30,实验组,35,5,6,6,3,6,1,2,3,0,0,0
2022-10-30,对照组,47,3,4,1,2,3,5,3,2,0,0,0
2022-10-31,实验组,32,8,4,2,2,3,3,0,0,0,0,0
2022-10-31,对照组,33,4,1,2,0,1,1,1,0,0,0,0
2022-11-01,实验组,51,9,5,6,5,1,3,0,0,0,0,0
2022-11-01,对照组,39,7,5,7,4,2,1,0,0,0,0,0
2022-11-02,实验组,53,12,11,4,5,5,0,0,0,0,0,0
2022-11-02,对照组,47,13,5,5,7,1,0,0,0,0,0,0
2022-11-03,实验组,68,19,6,6,10,0,0,0,0,0,0,0
2022-11-03,对照组,60,7,4,14,6,0,0,0,0,0,0,0
2022-11-04,实验组,82,15,10,9,0,0,0,0,0,0,0,0
2022-11-04,对照组,57,11,8,3,0,0,0,0,0,0,0,0
2022-11-05,实验组,83,16,10,0,0,0,0,0,0,0,0,0
2022-11-05,对照组,74,18,7,0,0,0,0,0,0,0,0,0
2022-11-06,实验组,67,14,0,0,0,0,0,0,0,0,0,0
2022-11-06,对照组,69,12,0,0,0,0,0,0,0,0,0,0
