pdate,c_num,A,B,n_day,A_rate,B_rate
2022-10-27,1,29.0,42.0,2,0.90625,0.7241379310344828
2022-10-27,2,3.0,16.0,2,0.09375,0.27586206896551724
2022-10-28,1,29.0,35.0,2,0.8529411764705882,0.7777777777777778
2022-10-28,2,5.0,10.0,2,0.14705882352941177,0.2222222222222222
2022-10-29,1,40.0,37.0,2,0.9523809523809523,0.8409090909090909
2022-10-29,2,2.0,7.0,2,0.047619047619047616,0.1590909090909091
2022-10-30,1,28.0,40.0,2,0.8,0.851063829787234
2022-10-30,2,7.0,7.0,2,0.2,0.14893617021276595
2022-10-31,1,27.0,30.0,2,0.84375,0.9090909090909091
2022-10-31,2,5.0,3.0,2,0.15625,0.09090909090909091
2022-11-01,1,43.0,35.0,2,0.8431372549019608,0.8974358974358975
2022-11-01,2,8.0,4.0,2,0.1568627450980392,0.10256410256410256
2022-11-02,1,44.0,40.0,2,0.8301886792452831,0.851063829787234
2022-11-02,2,9.0,7.0,2,0.16981132075471697,0.14893617021276595
2022-11-03,1,56.0,47.0,2,0.8235294117647058,0.7833333333333333
2022-11-03,2,12.0,13.0,2,0.17647058823529413,0.21666666666666667
2022-11-04,1,63.0,50.0,2,0.7682926829268293,0.8771929824561403
2022-11-04,2,19.0,7.0,2,0.23170731707317074,0.12280701754385964
2022-11-05,1,68.0,63.0,2,0.8192771084337349,0.8513513513513513
2022-11-05,2,15.0,11.0,2,0.18072289156626506,0.14864864864864866
2022-11-06,1,51.0,51.0,2,0.7611940298507462,0.7391304347826086
2022-11-06,2,16.0,18.0,2,0.23880597014925373,0.2608695652173913
2022-11-07,1,60.0,46.0,2,0.8108108108108109,0.7931034482758621
2022-11-07,2,14.0,12.0,2,0.1891891891891892,0.20689655172413793
2022-10-27,1,25.0,39.0,3,0.78125,0.6724137931034483
2022-10-27,2,6.0,16.0,3,0.1875,0.27586206896551724
2022-10-27,3,1.0,3.0,3,0.03125,0.05172413793103448
2022-10-28,1,29.0,31.0,3,0.8529411764705882,0.6888888888888889
2022-10-28,2,4.0,9.0,3,0.11764705882352941,0.2
2022-10-28,3,1.0,5.0,3,0.029411764705882353,0.1111111111111111
2022-10-29,1,39.0,32.0,3,0.9285714285714286,0.7272727272727273
2022-10-29,2,3.0,9.0,3,0.07142857142857142,0.20454545454545456
2022-10-29,3,0.0,3.0,3,0.0,0.06818181818181818
2022-10-30,1,27.0,36.0,3,0.7714285714285715,0.7659574468085106
2022-10-30,2,8.0,9.0,3,0.22857142857142856,0.19148936170212766
2022-10-30,3,0.0,2.0,3,0.0,0.0425531914893617
2022-10-31,1,24.0,30.0,3,0.75,0.9090909090909091
2022-10-31,2,6.0,3.0,3,0.1875,0.09090909090909091
2022-10-31,3,2.0,0.0,3,0.0625,0.0
2022-11-01,1,39.0,31.0,3,0.7647058823529411,0.7948717948717948
2022-11-01,2,10.0,8.0,3,0.19607843137254902,0.20512820512820512
2022-11-01,3,2.0,0.0,3,0.0392156862745098,0.0
2022-11-02,1,43.0,39.0,3,0.8113207547169812,0.8297872340425532
2022-11-02,2,7.0,8.0,3,0.1320754716981132,0.1702127659574468
2022-11-02,3,3.0,0.0,3,0.05660377358490566,0.0
